Symbol,LTP,Day Chg%,Volume ('000),Volume Chg%,TTV (Cr),OI ('000),OI Chg%,Basis,CoC,Spot,Buildup
TATAMOTORS,395.45,-0.29%,20.8,-3.12%,658.4,37533.6,14.23%,-1.15,-0.13,396.6,Short Build Up
POWERINDIA,"17,491",-1.53%,0.8,-41.47%,69.1,103.8,13.26%,52,0.14,"17,439",Short Build Up
WIPRO,240.01,-5.70%,26,173.82%,1883.2,152682,12.64%,-0.89,-0.17,240.9,Short Build Up
MUTHOOTFIN,"3,334.4",1.81%,6.4,231.98%,586.5,2845.4,12.48%,-0.1,0,"3,334.5",Long Build Up
POLICYBZR,"1,651.5",-2.70%,6.8,92.34%,394.5,7923.6,10.66%,4.6,0.13,"1,646.9",Short Build Up
KFINTECH,"1,123.9",-0.33%,2.2,65.87%,113.3,2273.8,5.51%,-0.4,-0.02,"1,124.3",Short Build Up
INFY,"1,414",-2.94%,66.1,73.82%,3761.8,46038.8,4.24%,-27.1,-0.86,"1,441.1",Short Build Up
AMBER,"8,202",0.91%,3,37.67%,247.6,681.5,4.24%,-47.5,-0.26,"8,249.5",Long Build Up
OFSS,"8,683.5",-1.30%,4.3,35.97%,279.6,1180.5,3.78%,-97,-0.5,"8,780.5",Short Build Up
OIL,406.95,-2.25%,1.8,112.62%,104.5,10490.2,3.44%,-1.95,-0.22,408.9,Short Build Up
TATATECH,684.95,-1.36%,2.3,45.05%,126.0,9400,3.12%,-0.25,-0.02,685.2,Short Build Up
RBLBANK,300.35,-2.45%,5.7,-60.14%,545.6,61306.1,2.83%,0.85,0.13,299.5,Short Build Up
NCC,206.39,-2.01%,1.1,60.35%,61.0,18144,2.77%,0.04,0.01,206.35,Short Build Up
HAL,"4,893.2",0.27%,17.2,170.90%,1274.3,8890.6,2.61%,14.7,0.14,"4,878.5",Long Build Up
SUZLON,52.96,-1.62%,6.7,70.24%,281.3,205328,2.51%,0.04,0.03,52.92,Short Build Up
MANKIND,"2,484.5",0.91%,1.9,-0.47%,106.6,1644.5,2.38%,7.9,0.15,"2,476.6",Long Build Up
ETERNAL,343.75,-1.29%,28.5,-57.83%,2363.8,215655.3,2.24%,1.1,0.15,342.65,Short Build Up
TATASTEEL,172.54,-1.06%,7.1,103.57%,673.2,189959,1.94%,0.32,0.08,172.22,Short Build Up
CIPLA,"1,582.4",0.64%,4.6,61.91%,269.1,11766.4,1.90%,4.8,0.14,"1,577.6",Long Build Up
HINDZINC,501.3,-1.31%,9.5,120.77%,588.5,31902.7,1.89%,1.05,0.1,500.25,Short Build Up
CDSL,"1,615.7",-0.62%,5,70.06%,390.3,7798.1,1.76%,4.4,0.12,"1,611.3",Short Build Up
POWERGRID,290.5,-0.70%,4.1,11.25%,224.8,70161.3,1.68%,0.75,0.12,289.75,Short Build Up
TITAN,"3,685.4",0.88%,8.3,-13.85%,533.3,10989.1,1.51%,10.6,0.13,"3,674.8",Long Build Up
INOXWIND,146.46,-0.54%,2.8,95.37%,133.7,45294.3,1.50%,0.18,0.06,146.28,Short Build Up
SUNPHARMA,"1,683.9",1.10%,4.4,-15.89%,258.9,15231.3,1.37%,4.8,0.13,"1,679.1",Long Build Up
