360 ONE WAM LIMITED,IIFWEA,13061.0
ABB India Limited,ABB,13.0
APL Apollo Tubes Limited,APLAPO,25780.0
AU Small Finance Bank Limited,AUSMA,21238.0
Adani Energy Solutions Limited,ADATRA,10217.0
Adani Enterprises Limited,ADAENT,25.0
Adani Green Energy Limited,ADAGRE,3563.0
Adani Ports and Special Economic Zone Limited,ADAPOR,15083.0
Aditya Birla Capital Limited,ADICAP,21614.0
Alkem Laboratories Limited,ALKLAB,11703.0
Amber Enterprises India Limited,AMBEN,1185.0
Ambuja Cements Limited,AMBCE,1270
Angel One Limited,ANGBRO,324.0
Apollo Hospitals Enterprise Limited,APOHOS,157.0
Ashok Leyland Limited,ASHLEY,212.0
Asian Paints Limited,ASIPAI,236.0
Astral Limited,ASTPOL,14418.0
Aurobindo Pharma Limited,AURPHA,275.0
Avenue Supermarts Limited,AVESUP,19913.0
Axis Bank Limited,AXIBAN,5900.0
BSE Limited,BSE,19585.0
Bajaj Auto Limited,BAAUTO,16669.0
Bajaj Finance Limited,BAJFI,317.0
Bajaj Finserv Limited,BAFINS,16675.0
Bandhan Bank Limited,BANBAN,2263.0
Bank of Baroda,BANBAR,4668.0
Bank of India,BANIND,4745.0
Bharat Dynamics Limited,BHADYN,2144.0
Bharat Electronics Limited,BHAELE,383.0
Bharat Forge Limited,BHAFOR,422.0
Bharat Heavy Electricals Limited,BHEL,438.0
Bharat Petroleum Corporation Limited,BHAPET,526.0
Bharti Airtel Limited,BHAAIR,10604.0
Biocon Limited,BIOCON,11373.0
Blue Star Limited,BLUSTA,8311.0
Bosch Limited,BOSLIM,2181.0
Britannia Industries Limited,BRIIND,547.0
CG Power and Industrial Solutions Limited,CROGRE,760.0
Canara Bank,CANBAN,10794.0
Central Depository Services (India) Limited,CDSL,21174.0
Cholamandalam Investment and Finance Company Limited,CHOINV,685.0
Cipla Limited,CIPLA,694.0
Coal India Limited,COALIN,20374.0
Coforge Limited,NIITEC,11543.0
Colgate Palmolive (India) Limited,COLPAL,15141.0
Computer Age Management Services Limited,COMAGE,342.0
Container Corporation of India Limited,CONCOR,4749.0
Crompton Greaves Consumer Electricals Limited,CROGR,17094.0
Cummins India Limited,CUMIND,1901.0
Cyient Limited,CYILIM,5748.0
DLF Limited,DLFLIM,14732.0
Dabur India Limited,DABIND,772.0
Dalmia Bharat Limited,DALBHA,21269.0
Delhivery Limited,DELLIM,9599.0
Divi's Laboratories Limited,DIVLAB,10940.0
Dixon Technologies (India) Limited,DIXTEC,21690.0
Dr. Reddy's Laboratories Limited,DRREDD,881.0
ETERNAL LIMITED,ZOMLIM,5097.0
Eicher Motors Limited,EICMOT,910.0
Exide Industries Limited,EXIIND,676.0
FSN E-Commerce Ventures Limited,FSNECO,6545.0
Fortis Healthcare Limited,FORHEA,14592.0
GAIL (India) Limited,GAIL,4717.0
GMR AIRPORTS LIMITED,GMRINF,13528.0
Glenmark Pharmaceuticals Limited,GLEPHA,7406.0
Godrej Consumer Products Limited,GODCON,10099.0
Godrej Properties Limited,GODPRO,17875.0
Grasim Industries Limited,GRASIM,1232.0
HCL Technologies Limited,HCLTEC,7229.0
HDFC Asset Management Company Limited,HDFAMC,4244.0
HDFC Bank Limited,HDFBAN,1333.0
HDFC Life Insurance Company Limited,HDFSTA,467.0
HFCL Limited,HIMFUT,21951.0
Havells India Limited,HAVIND,9819.0
Hero MotoCorp Limited,HERHON,1348.0
Hindalco Industries Limited,HINDAL,1363.0
Hindustan Aeronautics Limited,HINAER,2303.0
Hindustan Petroleum Corporation Limited,HINPET,1406.0
Hindustan Unilever Limited,HINLEV,1394.0
Hindustan Zinc Limited,HINZIN,1424.0
Hitachi Energy India Limited,ABBPOW,18457.0
Housing & Urban Development Corporation Limited,HUDCO,20825.0
ICICI Bank Limited,ICIBAN,4963.0
ICICI Lombard General Insurance Company Limited,ICILOM,21770.0
ICICI Prudential Life Insurance Company Limited,ICIPRU,18652.0
IDFC First Bank Limited,IDFBAN,11184.0
IIFL Finance Limited,IIFHOL,11809.0
ITC Limited,ITC,1660.0
Indian Bank,INDIBA,14309.0
Indian Energy Exchange Limited,INDEN,220.0
Indian Oil Corporation Limited,INDOIL,1624.0
Indian Railway Catering And Tourism Corporation Limited,INDRAI,13611.0
Indian Railway Finance Corporation Limited,INDR,2029.0
Indian Renewable Energy Development Agency Limited,INDREN,20261.0
Indraprastha Gas Limited,INDGAS,11262.0
Indus Towers Limited,BHAINF,29135.0
IndusInd Bank Limited,INDBA,5258.0
Info Edge (India) Limited,INFEDG,13751.0
Infosys Limited,INFTEC,1594.0
Inox Wind Limited,INOWIN,7852.0
InterGlobe Aviation Limited,INTAVI,11195.0
JINDAL STEEL LIMITED,JINSP,6733.0
JSW Energy Limited,JSWENE,17869.0
JSW Steel Limited,JSWSTE,11723.0
Jio Financial Services Limited,JIOFIN,18143.0
Jubilant Foodworks Limited,JUBFOO,18096.0
KEI Industries Limited,KEIIND,13310.0
KPIT Technologies Limited,KPITE,9683.0
Kalyan Jewellers India Limited,KALJEW,2955.0
Kaynes Technology India Limited,KAYTEC,12092.0
Kfin Technologies Limited,KFITEC,13359.0
Kotak Mahindra Bank Limited,KOTMAH,1922.0
L&T Finance Limited,LTFINA,24948.0
LIC Housing Finance Limited,LICHF,1997.0
LTIMindtree Limited,LTINFO,17818.0
Larsen & Toubro Limited,LARTOU,11483.0
Laurus Labs Limited,LAULAB,19234.0
Life Insurance Corporation Of India,LIC,9480.0
Lodha Developers Limited,MACDEV,3220.0
Lupin Limited,LUPIN,10440.0
Mahindra & Mahindra Limited,MAHMAH,2031.0
Manappuram Finance Limited,MANAFI,19061.0
Mankind Pharma Limited,MAPHA,15380.0
Marico Limited,MARLIM,4067.0
Maruti Suzuki India Limited,MARUTI,10999.0
Max Financial Services Limited,MAXFIN,2142.0
Max Healthcare Institute Limited,MAXHEA,22377.0
Mazagon Dock Shipbuilders Limited,MAZDOC,509.0
MphasiS Limited,MPHLIM,4503.0
Multi Commodity Exchange of India Limited,MCX,31181.0
Muthoot Finance Limited,MUTFIN,23650.0
NBCC (India) Limited,NBCC,31415.0
NCC Limited,NAGCON,2319.0
NHPC Limited,NHPC,17400.0
NMDC Limited,NATMIN,15332.0
NTPC Limited,NTPC,11630.0
National Aluminium Company Limited,NATALU,6364.0
Nestle India Limited,NESIND,17963.0
Nuvama Wealth Management Limited,NUVWEA,18721.0
Oberoi Realty Limited,OBEREA,20242.0
Oil & Natural Gas Corporation Limited,ONGC,2475.0
Oil India Limited,OILIND,17438.0
One 97 Communications Limited,ONE97,6705.0
Oracle Financial Services Software Limited,ORAFIN,10738.0
PB Fintech Limited,PBFINT,6656.0
PG Electroplast Limited,PGELEC,25358.0
PI Industries Limited,PIIND,24184.0
PNB Housing Finance Limited,PNBHOU,18908.0
Page Industries Limited,PAGIND,14413.0
Patanjali Foods Limited,RUCSOY,17029.0
Persistent Systems Limited,PERSYS,18365.0
Petronet LNG Limited,PETLNG,11351.0
Pidilite Industries Limited,PIDIND,2664.0
Piramal Pharma Limited,PIRPHA,11571.0
Polycab India Limited,POLI,9590.0
Power Finance Corporation Limited,POWFIN,14299.0
Power Grid Corporation of India Limited,POWGRI,14977.0
Prestige Estates Projects Limited,PREEST,20302.0
Punjab National Bank,PUNBAN,10666.0
RBL Bank Limited,RBLBAN,18391.0
REC Limited,RURELE,15355.0
Rail Vikas Nigam Limited,RAIVIK,9552.0
Reliance Industries Limited,RELIND,2885.0
SBI Cards and Payment Services Limited,SBICAR,17971.0
SBI Life Insurance Company Limited,SBILIF,21808.0
SHREE CEMENT LIMITED,SHRCEM,3103.0
SRF Limited,SRF,3273.0
Sammaan Capital Limited,INDHO,30125.0
Samvardhana Motherson International Limited,MOTSUM,4204.0
Shriram Finance Limited,SHRTRA,4306.0
Siemens Limited,SIEMEN,3150.0
Solar Industries India Limited,SOLIN,13332.0
Sona BLW Precision Forgings Limited,SONBLW,4684.0
State Bank of India,STABAN,3045.0
Steel Authority of India Limited,SAIL,2963.0
Sun Pharmaceutical Industries Limited,SUNPHA,3351.0
Supreme Industries Limited,SUPIND,3363.0
Suzlon Energy Limited,SUZENE,12018.0
Syngene International Limited,SYNINT,10243.0
TATA CONSUMER PRODUCTS LIMITED,TATGLO,3432.0
TITAGARH RAIL SYSTEMS LIMITED,TITWAG,15414.0
TVS Motor Company Limited,TVSMOT,8479.0
Tata Consultancy Services Limited,TCS,11536.0
Tata Elxsi Limited,TATELX,3411.0
Tata Motors Limited,TATMOT,3456.0
Tata Power Company Limited,TATPOW,3426.0
Tata Steel Limited,TATSTE,3499.0
Tata Technologies Limited,TATTEC,20293.0
Tech Mahindra Limited,TECMAH,13538.0
The Federal Bank Limited,FEDBAN,1023.0
The Indian Hotels Company Limited,INDHOT,1512.0
The Phoenix Mills Limited,PHOMIL,14552.0
Titan Company Limited,TITIND,3506.0
Torrent Pharmaceuticals Limited,TORPHA,3518.0
Torrent Power Limited,TORPOW,13786.0
Trent Limited,TRENT,1964.0
Tube Investments of India Limited,TUBIN,312.0
UNO Minda Limited,MININD,14154.0
UPL Limited,UNIP,11287.0
UltraTech Cement Limited,ULTCEM,11532.0
Union Bank of India,UNIBAN,10753.0
United Spirits Limited,UNISPI,10447.0
Varun Beverages Limited,VARBEV,18921.0
Vedanta Limited,VEDLIM,3063.0
Vodafone Idea Limited,IDECEL,14366.0
Voltas Limited,VOLTAS,3718.0
Wipro Limited,WIPRO,3787.0
Yes Bank Limited,YESBAN,11915.0
Zydus Lifesciences Limited,CADHEA,7929.0
