360 ONE WAM LIMITED,IIFWEA,13061
ABB India Limited,ABB,13
APL Apollo Tubes Limited,APLAPO,25780
AU Small Finance Bank Limited,AUSMA,21238
Adani Energy Solutions Limited,ADATRA,10217
Adani Enterprises Limited,ADAENT,25
Adani Green Energy Limited,ADAGRE,3563
Adani Ports and Special Economic Zone Limited,ADAPOR,15083
Aditya Birla Capital Limited,ADICAP,21614
Alkem Laboratories Limited,ALKLAB,11703
Amber Enterprises India Limited,AMBEN,1185
Ambuja Cements Limited,AMBCE,1270
Angel One Limited,ANGBRO,324
Apollo Hospitals Enterprise Limited,APOHOS,157
Ashok Leyland Limited,ASHLEY,212
Asian Paints Limited,ASIPAI,236
Astral Limited,ASTPOL,14418
Aurobindo Pharma Limited,AURPHA,275
Avenue Supermarts Limited,AVESUP,19913
Axis Bank Limited,AXIBAN,5900
BSE Limited,BSE,19585
Bajaj Auto Limited,BAAUTO,16669
Bajaj Finance Limited,BAJFI,317
Bajaj Finserv Limited,BAFINS,16675
Bandhan Bank Limited,BANBAN,2263
Bank of Baroda,BANBAR,4668
Bank of India,BANIND,4745
Bharat Dynamics Limited,BHADYN,2144
Bharat Electronics Limited,BHAELE,383
Bharat Forge Limited,BHAFOR,422
Bharat Heavy Electricals Limited,BHEL,438
Bharat Petroleum Corporation Limited,BHAPET,526
Bharti Airtel Limited,BHAAIR,10604
Biocon Limited,BIOCON,11373
Blue Star Limited,BLUSTA,8311
Bosch Limited,BOSLIM,2181
Britannia Industries Limited,BRIIND,547
CG Power and Industrial Solutions Limited,CROGRE,760
Canara Bank,CANBAN,10794
Central Depository Services (India) Limited,CDSL,21174
Cholamandalam Investment and Finance Company Limited,CHOINV,685
Cipla Limited,CIPLA,694
Coal India Limited,COALIN,20374
Coforge Limited,NIITEC,11543
Colgate Palmolive (India) Limited,COLPAL,15141
Computer Age Management Services Limited,COMAGE,342
Container Corporation of India Limited,CONCOR,4749
Crompton Greaves Consumer Electricals Limited,CROGR,17094
Cummins India Limited,CUMIND,1901
Cyient Limited,CYILIM,5748
DLF Limited,DLFLIM,14732
Dabur India Limited,DABIND,772
Dalmia Bharat Limited,DALBHA,21269
Delhivery Limited,DELLIM,9599
Divi's Laboratories Limited,DIVLAB,10940
Dixon Technologies (India) Limited,DIXTEC,21690
Dr. Reddy's Laboratories Limited,DRREDD,881
ETERNAL LIMITED,ZOMLIM,5097
Eicher Motors Limited,EICMOT,910
Exide Industries Limited,EXIIND,676
FSN E-Commerce Ventures Limited,FSNECO,6545
Fortis Healthcare Limited,FORHEA,14592
GAIL (India) Limited,GAIL,4717
GMR AIRPORTS LIMITED,GMRINF,13528
Glenmark Pharmaceuticals Limited,GLEPHA,7406
Godrej Consumer Products Limited,GODCON,10099
Godrej Properties Limited,GODPRO,17875
Grasim Industries Limited,GRASIM,1232
HCL Technologies Limited,HCLTEC,7229
HDFC Asset Management Company Limited,HDFAMC,4244
HDFC Bank Limited,HDFBAN,1333
HDFC Life Insurance Company Limited,HDFSTA,467
HFCL Limited,HIMFUT,21951
Havells India Limited,HAVIND,9819
Hero MotoCorp Limited,HERHON,1348
Hindalco Industries Limited,HINDAL,1363
Hindustan Aeronautics Limited,HINAER,2303
