stock_code,entry_datetime,exit_datetime,entry_price,exit_price,shares,position_value,exit_value,pnl,pnl_pct,candles_held,entry_reason,exit_reason,capital_after_trade
IIFWEA,2025-04-01 11:45:00,2025-04-01 12:45:00,909.5,902.55,164,149158.0,148018.19999999998,-1139.8000000000175,-0.7641561297416279,12,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.76%,998860.2
IIFWEA,2025-04-01 12:50:00,2025-04-01 14:20:00,904.0,899.95,165,149160.0,148491.75,-668.25,-0.4480088495575222,18,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.45%,998191.95
IIFWEA,2025-04-01 14:25:00,2025-04-01 14:50:00,900.7,890.7,166,149516.2,147856.2,-1660.0,-1.1102475852115021,5,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",STOP_LOSS: -1.11%,996531.95
IIFWEA,2025-04-01 15:25:00,2025-04-02 09:25:00,888.85,877.55,168,149326.80000000002,147428.4,-1898.4000000000233,-1.2713056196208739,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.27%,994633.5499999999
IIFWEA,2025-04-02 09:50:00,2025-04-02 11:15:00,883.45,887.8,168,148419.6,149150.4,730.7999999999884,0.49238779783801356,17,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",TRAILING_STOP: 0.49%,995364.35
IIFWEA,2025-04-02 13:45:00,2025-04-02 14:25:00,889.45,886.05,167,148538.15,147970.35,-567.7999999999884,-0.3822586991961246,8,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.38%,994796.5499999999
IIFWEA,2025-04-02 15:10:00,2025-04-03 09:20:00,886.3,888.2,168,148898.4,149217.6,319.20000000001164,0.21437436533905782,6,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.21%,995115.7499999999
IIFWEA,2025-04-03 11:05:00,2025-04-03 13:05:00,905.25,901.0,164,148461.0,147764.0,-697.0,-0.4694835680751174,24,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.47%,994418.7499999999
IIFWEA,2025-04-03 13:15:00,2025-04-04 09:15:00,899.4,904.5,165,148401.0,149242.5,841.5,0.5670446964643095,28,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.57%,995260.2499999999
IIFWEA,2025-04-04 11:45:00,2025-04-04 13:30:00,878.05,874.2,170,149268.5,148614.0,-654.5,-0.4384716132338705,21,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.44%,994605.7499999999
IIFWEA,2025-04-04 13:35:00,2025-04-04 13:40:00,874.2,865.3,170,148614.0,147101.0,-1513.0,-1.0180736673530084,1,"Entry signals: MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.02%,993092.7499999999
IIFWEA,2025-04-04 15:15:00,2025-04-07 09:15:00,846.7,806.45,175,148172.5,141128.75,-7043.75,-4.753749852368017,4,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -4.75%,986048.9999999999
IIFWEA,2025-04-08 15:10:00,2025-04-09 09:20:00,848.15,844.15,174,147578.1,146882.1,-696.0,-0.4716146907976183,6,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.47%,985352.9999999999
IIFWEA,2025-04-09 09:55:00,2025-04-09 10:35:00,833.8,830.6,177,147582.6,147016.2,-566.3999999999942,-0.38378508035499725,8,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.38%,984786.5999999999
IIFWEA,2025-04-09 10:40:00,2025-04-09 11:05:00,829.3,820.5,178,147615.4,146049.0,-1566.3999999999942,-1.0611358977450822,5,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",STOP_LOSS: -1.06%,983220.1999999998
IIFWEA,2025-04-09 11:35:00,2025-04-09 12:00:00,820.6,822.35,179,146887.4,147200.65,313.25,0.21325859127467708,5,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",TRAILING_STOP: 0.21%,983533.4499999998
IIFWEA,2025-04-09 13:05:00,2025-04-09 13:30:00,821.85,818.6,179,147111.15,146529.4,-581.75,-0.39544929123319345,5,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",TRAILING_STOP: -0.40%,982951.6999999998
IIFWEA,2025-04-09 13:35:00,2025-04-09 15:05:00,819.9,810.0,179,146762.1,144990.0,-1772.1000000000058,-1.2074643249176766,18,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.21%,981179.5999999999
IIFWEA,2025-04-09 15:10:00,2025-04-11 09:20:00,808.45,830.05,182,147137.9,151069.1,3931.2000000000116,2.6717793308182403,6,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",PROFIT_TARGET: 2.67%,985110.7999999998
IIFWEA,2025-04-11 11:05:00,2025-04-11 11:45:00,820.9,838.1,180,147762.0,150858.0,3096.0,2.095261298574735,8,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",PROFIT_TARGET: 2.10%,988206.7999999998
IIFWEA,2025-04-15 12:00:00,2025-04-15 12:20:00,927.75,931.1,159,147512.25,148044.9,532.6499999999942,0.3610886553489586,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.36%,988739.4499999998
