Trade_ID,Symbol,Action,Quantity,Price,Timestamp,Signal,Value,P&L,Trade_Status
1,IIFWEA,BUY,114,869.9,2025-04-07 14:05:00,ML Signal: 1 (confidence: 0.60),99168.59999999999,-820.7999999999922,Closed
2,IIFWEA,SELL,114,862.7,2025-04-07 14:10:00,Time-based exit,98347.8,-820.7999999999922,Closed
3,IIFWEA,BUY,112,887.65,2025-04-07 15:00:00,ML Signal: 1 (confidence: 0.60),99416.8,-672.0,Closed
4,IIFWEA,SELL,112,881.65,2025-04-07 15:05:00,Time-based exit,98744.8,-672.0,Closed
5,IIFWEA,BUY,112,887.1,2025-04-07 15:10:00,ML Signal: 1 (confidence: 0.60),99355.2,-5.60000000000764,Closed
6,IIFWEA,SELL,112,887.05,2025-04-07 15:15:00,Time-based exit,99349.59999999999,-5.60000000000764,Closed
7,IIFWEA,BUY,112,887.05,2025-04-07 15:15:00,ML Signal: 1 (confidence: 0.60),99349.59999999999,-218.39999999999236,Closed
8,IIFWEA,SELL,112,885.1,2025-04-07 15:20:00,Time-based exit,99131.2,-218.39999999999236,Closed
9,IIFWEA,BUY,118,846.1,2025-04-11 11:50:00,ML Signal: 1 (confidence: 0.60),99839.8,-896.8000000000027,Closed
10,IIFWEA,SELL,118,838.5,2025-04-11 11:55:00,Time-based exit,98943.0,-896.8000000000027,Closed
11,IIFWEA,BUY,119,839.75,2025-04-11 12:00:00,ML Signal: 1 (confidence: 0.60),99930.25,-47.599999999997294,Closed
12,IIFWEA,SELL,119,839.35,2025-04-11 12:05:00,Time-based exit,99882.65000000001,-47.599999999997294,Closed
