Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,SYMBOL,OPEN INTEREST (07-Nov-2025),OPEN INTEREST (06-Nov-2025),CHNG IN OI,%CHNG IN OI,VOLUME (contracts),FUTURES VALUE (₹ Lakhs),OPTIONS VALUE (Premium) (₹ Lakhs),TOTAL VALUE (₹ Lakhs),UNDERLYING VALUE
AMBER,41689,19007,22682,119.33,251161,177490.27,28684.09,206174.36,7282.0,,,,,,,,,,,,,
BPCL,33079,17729,15350,86.58,22704,31036.92,2317.45,33354.38,367.0,,,,,,,,,,,,,
LTF,30268,20237,10031,49.57,126705,241268.52,28128.07,269396.59,304.0,,,,,,,,,,,,,
ABB,43374,33650,9724,28.9,99413,101813.83,7913.32,109727.16,5011.0,,,,,,,,,,,,,
BHARTIARTL,173090,138372,34718,25.09,301848,515759.09,21791.04,537550.13,2001.0,,,,,,,,,,,,,
BLUESTARCO,16493,13714,2779,20.26,34277,22363.71,2463.24,24826.95,1756.0,,,,,,,,,,,,,
CYIENT,18300,15798,2502,15.84,15785,16358.97,901.35,17260.32,1116.0,,,,,,,,,,,,,
MANKIND,15606,13502,2104,15.58,21156,16735.65,1190.21,17925.86,2268.0,,,,,,,,,,,,,
DIVISLAB,72206,62905,9301,14.79,157009,154953.39,14054.96,169008.35,6607.0,,,,,,,,,,,,,
PGEL,21961,19186,2775,14.46,40379,24172.72,3086.13,27258.85,530.0,,,,,,,,,,,,,
NIFTY,7624846,6716616,908230,13.52,115459193,1954448.58,5002308.02,6956756.6,25492.0,,,,,,,,,,,,,
DMART,64266,56754,7512,13.24,49048,46687.13,3607.57,50294.7,4015.0,,,,,,,,,,,,,
CUMMINSIND,26768,23706,3062,12.92,138642,141550.26,18741.13,160291.39,4290.0,,,,,,,,,,,,,
BAJAJ-AUTO,83481,73950,9531,12.89,86373,47171.48,6814.71,53986.19,8717.0,,,,,,,,,,,,,
SBILIFE,39008,34740,4268,12.29,22341,29643.16,1587.74,31230.9,2003.0,,,,,,,,,,,,,
KALYANKJIL,41777,37217,4560,12.25,27460,20810.38,3171.13,23981.5,513.0,,,,,,,,,,,,,
